;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1019 Москва)";"109548, г. Москва, ул. Шоссейная, 2 б";"(77) 817708";;331;930;41680,15;566;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1048 Москва)";"140073, РФ, Московская обл., пос. Томилино, 23 км. Ново-Рязанского ш., 17";"(77) 817709";;70;201,25;10710,57;567;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1049 Москва)";"142784, Московская обл., Ленинский район, д. Картмазово, стр. 7";"(77) 817710";;209;611,25;27171,99;568;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1061 Москва)";"141580, МО, Солнечногорский район, д. Черная грязь, ул. Торгово-Промышленная, д. 5";"(77) 817712";;258;725;38032,21;569;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1067 Москва)";"143987, Московская обл., г. Железнодорожный, ул. Советская, д. 60";"(77) 817711";;154;427;20747,35;570;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1317 Серпухов)";"Московская обл.г.Серпухов бульвар 65 лет Победы д,4";"(77) 815415";;54;141;6354,67;572;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1444 Моск.обл)";"Московская обл.Котельники ,Новорязанское шоссе д.5";"(77) 817731";;281;689;29533,58;573;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1018 Москва)";"105523, г. Москва, МКАД, 104 км, д. 6";"(77) 817707";;290;814;37964,52;565;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1017 Москва)";"123458, г. Москва, Проезд № 607, д. 14";"(77) 817706";;175;469;22915,09;564;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1013 Москва)";"121471, г. Москва, ул. Рябинова, д.59";"(77) 817704";;277;740;34515,08;571;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1010 Москва)";"125455, г. Москва, Ленинградское ш., д.71г";"(77) 817701";;360;1062,50;50948,27;559;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1011 Москва)";"129226, г. Москва, пр-т Мира, д.211, корп.1";"(77) 817702";;195;515;25470,02;560;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1012 Москва)";"117545, г. Москва, ул. Дорожная, д.1, корп. 1";"(77) 817703";;196;518;28917,08;561;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1014 Москва)";"127411, г. Москва, Дмитровское ш., д.165 б";"(77) 817705";;261;723,50;32633,92;563;20.03.2014
;polard;49;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1013 Москва)";"121471, г. Москва, ул. Рябинова, д.59";"(77) 817704";;80;240;9416,40;562;20.03.2014
